"nanyangSiteId","siteNameZh","siteNameAlt1","LATITUDE","LONGITUDE"
"tt-mb-d103C30","地藏庵","Di Cang An",25.051175,121.513203
"tt-mb-d103C40","廣善堂","Guang Shan Tang",25.071561,121.514412
"tt-mb-d103C51","法鼓山大同辦事處","Dharma Drum Mountain Da Tong Office",25.070554,121.519053
"tt-mb-d103C60","達香寺","Da Xiang Si",25.050383,121.515032
"tt-mb-d103C70","港口奉天宮","Gang Kou Feng Tian Gong",25.058803,121.520413
"tt-mb-d103C80","重閣講堂","Chong Ge Jiang Tang",25.050448,121.518488
"tt-mb-d103C90","仁德堂","Ren De Tang",25.059727,121.508643
"tt-mb-d103D00","慈聖寺","Ci Sheng Si",25.072695,121.511451
"tt-mb-d103D10","普安精舍","Pu An Jing She",25.072084,121.517207
"tt-mb-d103D20","至妙寺","Zhi Miao Si",25.059472,121.515786
"tt-mb-d103D30","生命電視台北生命道場","Sheng Ming Dian Shi Taipei Sheng Ming Dao Chang",25.056793,121.512335
"tt-mb-d103D40","寶吉祥佛教文化交流協會","Bao Ji Xiang Fo Jiao Wen Hua Jiao Liu Xie Hui",25.063135,121.516946
"tt-mb-d103D50","寧瑪巴南卡穹宗中心","Nyingma Nan ka Qiong zong Buddhist Center",25.065777,121.517852
"tt-mb-d103D60","中華敦珠佛學苑","Zhong Hua Dun Zhu Fo Xue Yuan",25.054096,121.512908
"tt-mb-d103D70","台北烏金華苑","Taipei Wu Jin Hua Yuan",25.076332,121.514896
"tt-mb-d103D80","佛頂山朝聖寺台北總會","Fo Ding Shan Chao Sheng Si Taipei Zong Hui",25.050089,121.51658
"tt-mb-d103D90","孔雀明王法共修道場","Kong Que Ming Wang Fa Gong Xiu Dao Chang",25.054626,121.514979
"tt-mb-d103F00","圓山蓮社","Yuan Shan Lian She",25.072063,121.518166
"tt-mb-d103F10","大同悟覺精舍","Da Tong Wu Jue Jing She",25.052742,121.518617
"tt-mb-d103F20","西密佛教雲慈正覺會台北佛堂","Xi Mi Fo Jiao Yun Ci Zheng Jue Hui Taipei Fo Tang",25.059779,121.518424
