nanyangSiteId,siteNameZh,siteNameAlt1,latitude,longitude
js-mb-S080,石門福德宮,Shi Men Fu De Gong,25.29131,121.5661
js-mb-S081,內石門福德宮,Nei Shi Men Fu De Gong,25.26238,121.58002
js-mb-S082,普陀山日月大天宮,Pu Tuo Shan Ri Yue Da Tian Gong,25.25536,121.57547
js-mb-S083,伍天宮,Wu Tian Gong,25.26672,121.62296
js-mb-S084,金山無極三鴻天地人寺,Jin Shan Wu Ji San Hong Tian Di Ren Si,25.26812,121.62697
js-mb-S085,聖德宮,ShengDeGong,25.2308,121.6197
js-mb-S086,嚴淨寺,YanJingSi,25.2328,121.6164
js-mb-S087,福德宮,FuDeGong,25.2361,121.615
js-mb-S088,慧明禪寺,HuiMingChanSi,25.2469,121.6117
js-mb-S089,金寶山鄧麗君紀念公園,JinBaoShanDengLiJunJiNianGongYuan,25.2481,121.6011
js-mb-S090,賜福宮,CiFuGong,25.2422,121.6264
js-mb-S091,天龍宮,TianLongGong,25.2389,121.6278
js-mb-S092,磺港福德廟,HuangGangFuDeMiao,25.2308,121.6486
js-mb-S093,文聖宮,WenShengGong,25.2272,121.6456
js-mb-S094,承天宮,ChengTianGong,25.2256,121.6444
js-mb-S095,慈護宮,CiHuGong,25.2206,121.6403
js-mb-S096,廣安宮,GuangAnGong,25.2217,121.6381
js-mb-S097,镇天宫,ZhenTianGong,25.2343,121.625
js-mb-S098,金山寺,JinShanSi,25.235,121.6255
js-mb-S099,中華布杜瓦佛學會,ZhongHuaBuDuWaFoXueHui,25.2217,121.6332
js-mb-S100,業主公,YeZhuGong,25.2191,121.6389
js-mb-S101,紫雲宮,ZiYunGong,25.2189,121.6396
js-mb-S102,龍鳳宮,LongFengGong,25.2195,121.6401
js-mb-S103,福仁宮,FuRenGong,25.217,121.6373
js-mb-S104,福德宮,FuDeGong,25.2137,121.634
js-mb-S105,天儀宮,TianYiGong,25.21366,121.63401
js-mb-S106,神奇宮,ShenQiGong,25.20683,121.62862
js-mb-S107,萬里情月老廟,WanLiQingYueLaoMiao,25.20588,121.62649
js-mb-S108,金山財神廟,JinShanCaiShenMiao,25.20635,121.6266
js-mb-S109,福德祠,FuDeCi,25.2082,121.62669
js-mb-S110,伍母樊慈宮,WuMuFanCiGong,25.21936,121.62233
js-mb-S111,??,??,25.22115,121.62044
js-mb-S112,慶元宮,QingYuanGong,25.22156,121.62172
js-mb-S113,??,??,25.2194,121.60802
js-mb-S114,朝天宮,ChaoTianGong,25.21803,121.60261
js-mb-S115,三清宮,SanQingGong,25.21813,121.61612
js-mb-S116,三福宫,SanFuGong,25.23,121.62056
js-mb-S117,清福宫,QingFuGong,25.23,121.62056
js-mb-S118,萬善堂,WanShanTang,25.22361,121.63722
js-mb-S119,武英殿,WuYingDian,25.22458,121.63682
js-mb-S120,威靈宮,WeiLingGong,25.22346,121.64735
js-mb-S121,善德寺,ShanDeSi,25.22346,121.64735
